"Academic Yr","Year Term","Semester","Ungrad Grad","Entry Status","College/School","Academic Division","Academic Department","Major Short Nm","Student Headcount",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Berkeley School of Education","Berkeley School of Education","Education","Education","335",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Berkeley School of Education","Berkeley School of Education","Education","Educational Leadership Jnt Pgm","1",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Berkeley School of Education","Berkeley School of Education","Education","Special Education","18",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Berkeley School of Education","Berkeley School of Education","Science & Math Educ Grad Grp","Science & Math Education","15",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Chemistry","Clg of Chemistry","Chem & Biomolecular Eng","Chemical Engineering","136",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Chemistry","Clg of Chemistry","Chemistry","Chemistry","391",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Comp Data Sci & Soc","Clg of Comp Data Sci & Soc","Computational Biology Grad Grp","Computational Biology","9",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Comp Data Sci & Soc","Clg of Comp Data Sci & Soc","Statistics","Statistics","72",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Applied Sci & Tech Grad Grp","Applied Science & Tech","42",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Bioengineering","Bioengineering","118",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Bioengineering","Translational Medicine","14",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Bioengineering-UCSF Grad Grp","Bioengineering (UCSF)","74",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Bioengineering-UCSF Grad Grp","Translational Medicine (UCSF)","15",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Civil & Environmental Eng","Civil & Environmental Eng","345",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Electrical Eng & Computer Sci","Computer Science","225",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Electrical Eng & Computer Sci","El Eng & Comp Sci PT MEng","1",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Electrical Eng & Computer Sci","Electrical Eng & Comp Sci","346",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Electrical Eng & Computer Sci","Master of Adv Std - IC","12",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Industrial Eng & Ops Research","Ind Eng & Ops Rsch PT MEng","1",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Industrial Eng & Ops Research","Industrial Eng & Ops Rsch","86",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Materials Science & Eng","Materials Science & Eng","94",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Mechanical Engineering","Mechanical Engineering","378",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Engineering","Clg of Engineering","Nuclear Engineering","Nuclear Engineering","68",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Environmental Design","Clg of Environmental Design","Architecture","Architecture","172",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Environmental Design","Clg of Environmental Design","City & Regional Planning","City & Regional Planning","143",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Environmental Design","Clg of Environmental Design","Inst of Urban & Reg Dev Pgms","Urban Design","6",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Environmental Design","Clg of Environmental Design","Landscape Arch & Env Plan","Landscape Arch & Env Plan","17",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Environmental Design","Clg of Environmental Design","Landscape Arch & Env Plan","Landscape Architecture","62",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Anc Hist Med Arc Grad Grp","Anc Hist & Medit Archae","14",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Ancient Greek & Roman Studies","Classical Archaeology","6",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Ancient Greek & Roman Studies","Classics","21",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Art Practice","Art","12",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Buddhist Studies Grad Grp","Buddhist Studies","9",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Comparative Literature","Comparative Literature","65",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","East Asian Lang & Culture","Chinese Language","13",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","East Asian Lang & Culture","Japanese Language","14",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","English","English","123",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","Film and Media","Film and Media","24",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","French","French","32",""
"2014-15","2014 Fall","Fall","Graduate","Graduate","Clg of Letters & Science","L&S Arts & Humanities Division","German","German","32",""
